"Taxon","Region","MinAge","MaxAge","Locality"
"Prodeinotherium hobleyi","Africa",13.82,15.97,"Majiwa_siteSet_1"
"Archaeobelodon filholi","Africa",13.82,15.97,"Samburu Hills (Nachola)_siteSet_1"
"Afrochoerodon kisumuensis","Africa",13.82,15.97,"Tugen Hills (BPRP 89)_siteSet_1"
"Protanancus macinnesi","Africa",13.82,15.97,"Tugen Hills (BPRP 89)_siteSet_1"
"Afrochoerodon kisumuensis","Africa",13.82,15.97,"Tugen Hills 1_siteSet_1"
"Gomphotherium mongoliense","Asia",13.82,15.97,"Loh2_siteSet_1"
"Prodeinotherium hobleyi","Africa",13.82,15.97,"Ombo_siteSet_1"
"Prodeinotherium hobleyi","Africa",13.82,15.97,"Samburu Hills (Nachola)_siteSet_1"
"Gomphotherium productum","North America",13.6,15.97,"Annie's Geese Crossing Quarry_siteSet_1"
"Gomphotherium productum","North America",13.6,15.97,"Bradley_siteSet_1"
