Taxon	Status	MinAge	MaxAge	Site
Zygolophodon_turicensis	extinct	12.85	14.2	569
Gomphotherium_angustidens	extinct	12.85	14.2	630
Deinotherium_giganteum	extinct	12.85	14.2	759
Gomphotherium_angustidens	extinct	12.85	14.2	812
Deinotherium_giganteum	extinct	12.85	14.2	813
Gomphotherium_angustidens	extinct	12.85	14.2	879
Zygolophodon_turicensis	extinct	12.85	14.2	914
Deinotherium_giganteum	extinct	12.85	14.2	956
Gomphotherium_angustidens	extinct	12.85	14.2	956
Zygolophodon_turicensis	extinct	12.85	14.2	956
Zygolophodon_turicensis	extinct	12.85	14.2	979
Zygolophodon_turicensis	extinct	12.85	14.2	984
Gomphotherium_angustidens	extinct	12.85	14.2	1113
Gomphotherium_angustidens	extinct	12.85	14.2	1114
Gomphotherium_angustidens	extinct	12.85	14.2	1115
Deinotherium_levius	extinct	12.85	14.2	1119
Deinotherium_giganteum	extinct	12.85	14.2	1157
Gomphotherium_angustidens	extinct	12.85	14.2	1174
Zygolophodon_turicensis	extinct	11.2	14.2	1205
Zygolophodon_turicensis	extinct	12.85	14.2	1235
Prodeinotherium_bavaricum	extinct	12.85	14.2	232
Prodeinotherium_bavaricum	extinct	12.85	14.2	368
Prodeinotherium_bavaricum	extinct	11.2	14.2	369
Prodeinotherium_bavaricum	extinct	12.85	14.2	812
Prodeinotherium_bavaricum	extinct	12.85	14.2	879
Prodeinotherium_bavaricum	extinct	12.85	14.2	1303
Prodeinotherium_bavaricum	extinct	11.2	14.2	1374
Prodeinotherium_bavaricum	extinct	12.85	14.2	1469
Archaeobelodon_filholi	extinct	12.85	14.2	1303
Deinotherium_giganteum	extinct	12.85	14.2	1303
Gomphotherium_angustidens	extinct	12.85	14.2	1303
Zygolophodon_turicensis	extinct	12.85	14.2	1303
Gomphotherium_angustidens	extinct	11.2	14.2	1374
Zygolophodon_turicensis	extinct	11.2	14.2	1374
Deinotherium_giganteum	extinct	12.85	14.2	1424
Prodeinotherium_hobleyi	extinct	12.85	14.2	718
Prodeinotherium_hobleyi	extinct	12.85	14.2	884
Platybelodon_grangeri	extinct	12.85	14.2	1439
Platybelodon_tongxinensis	extinct	12.85	14.2	1483
Gomphotherium_subtapiroideum	extinct	13.5	14	1297
Zygolophodon_turicensis	extinct	13.5	14	1297
Protanancus_macinnesi	extinct	12.4	14	46
Choerolophodon_ngorora	extinct	13.9	14	461
Choerolophodon_ngorora	extinct	13.9	14	462
Prodeinotherium_hobleyi	extinct	12.4	14	46
Choerolophodon_ngorora	extinct	11.63	13.82	1025
Afrochoerodon_kisumuensis	extinct	11.63	13.82	1055
Gomphotherium_productum	extinct	11.63	13.82	286
Gomphotherium_productum	extinct	11.63	13.82	1429
Choerolophodon_ngorora	extinct	13.7	13.8	463
Protanancus_macinnesi	extinct	13.7	13.8	463
Prodeinotherium_hobleyi	extinct	13.7	13.8	463
Deinotherium_giganteum	extinct	11.5	13.6	749
Deinotherium_giganteum	extinct	11.5	13.6	1604
Platybelodon_grangeri	extinct	11.1	13.5	802
Miomastodon_gobiensis	extinct	11.1	13.5	802
Gomphotherium_tassyi	extinct	11.1	13.5	802
Platybelodon_grangeri	extinct	11.1	13.5	1648
Gomphotherium_tassyi	extinct	11.1	13.5	1648
Gomphotherium_browni	extinct	13.094	13.263	887
Stegolophodon_latidens	extinct	13.094	13.263	887
Gomphotherium_angustidens	extinct	11	13	284
Tetralophodon_longirostris	extinct	11	13	284
Prodeinotherium_hobleyi	extinct	11	13	284
Gomphotherium_angustidens	extinct	12.2	12.9	80
Gomphotherium_angustidens	extinct	9.5	12.85	6
Gomphotherium_angustidens	extinct	11.2	12.85	36
Deinotherium_giganteum	extinct	11.2	12.85	37
Gomphotherium_angustidens	extinct	11.2	12.85	37
Deinotherium_giganteum	extinct	11.2	12.85	112
Zygolophodon_turicensis	extinct	11.2	12.85	112
Zygolophodon_turicensis	extinct	11.2	12.85	147
Deinotherium_giganteum	extinct	11.2	12.85	159
Zygolophodon_turicensis	extinct	9.5	12.85	185
Deinotherium_giganteum	extinct	11.2	12.85	212
Tetralophodon_longirostris	extinct	9.5	12.85	215
Deinotherium_giganteum	extinct	11.2	12.85	228
Gomphotherium_angustidens	extinct	11.2	12.85	228
Zygolophodon_turicensis	extinct	11.2	12.85	229
Deinotherium_giganteum	extinct	9.5	12.85	230
Gomphotherium_angustidens	extinct	11.2	12.85	270
Tetralophodon_xiaolongtanensis	extinct	11.2	12.85	289
Gomphotherium_angustidens	extinct	11.2	12.85	315
Deinotherium_giganteum	extinct	11.2	12.85	326
Gomphotherium_angustidens	extinct	11.2	12.85	326
Deinotherium_giganteum	extinct	11.2	12.85	327
Deinotherium_giganteum	extinct	9.5	12.85	407
Gomphotherium_angustidens	extinct	11.2	12.85	425
Deinotherium_giganteum	extinct	11.2	12.85	432
Gomphotherium_angustidens	extinct	9.5	12.85	499
Gomphotherium_steinheimense	extinct	9.5	12.85	499
Gomphotherium_steinheimense	extinct	9.5	12.85	517
Gomphotherium_steinheimense	extinct	9.5	12.85	551
Deinotherium_giganteum	extinct	11.2	12.85	552
Gomphotherium_angustidens	extinct	11.2	12.85	552
Deinotherium_giganteum	extinct	11.2	12.85	601
Tetralophodon_longirostris	extinct	11.2	12.85	601
Gomphotherium_angustidens	extinct	11.2	12.85	761
Deinotherium_giganteum	extinct	11.2	12.85	763
Deinotherium_giganteum	extinct	11.2	12.85	765
Gomphotherium_angustidens	extinct	11.2	12.85	765
Deinotherium_giganteum	extinct	11.2	12.85	766
Zygolophodon_turicensis	extinct	11.2	12.85	767
Gomphotherium_angustidens	extinct	11.2	12.85	768
Deinotherium_giganteum	extinct	11.2	12.85	769
Deinotherium_giganteum	extinct	11.2	12.85	770
Platybelodon_danovi	extinct	11.2	12.85	827
Deinotherium_giganteum	extinct	11.2	12.85	880
Gomphotherium_angustidens	extinct	11.2	12.85	880
Zygolophodon_turicensis	extinct	11.2	12.85	894
Deinotherium_giganteum	extinct	11.2	12.85	904
Tetralophodon_longirostris	extinct	11.2	12.85	904
Gomphotherium_steinheimense	extinct	11.2	12.85	916
Deinotherium_giganteum	extinct	9.5	12.85	921
Tetralophodon_longirostris	extinct	9.5	12.85	921
Deinotherium_giganteum	extinct	11.2	12.85	966
Gomphotherium_angustidens	extinct	11.2	12.85	966
Gomphotherium_angustidens	extinct	11.2	12.85	971
Deinotherium_giganteum	extinct	11.2	12.85	1034
Zygolophodon_turicensis	extinct	11.2	12.85	1047
Deinotherium_giganteum	extinct	11.2	12.85	1127
Gomphotherium_angustidens	extinct	11.2	12.85	1127
Archaeobelodon_filholi	extinct	11.2	12.85	1169
Zygolophodon_turicensis	extinct	11.2	12.85	1169
Deinotherium_giganteum	extinct	11.2	12.85	1275
Deinotherium_giganteum	extinct	11.2	12.85	1276
Gomphotherium_angustidens	extinct	11.2	12.85	1276
Zygolophodon_turicensis	extinct	11.2	12.85	1276
Deinotherium_giganteum	extinct	11.2	12.85	1285
Deinotherium_giganteum	extinct	11.2	12.85	1292
Deinotherium_giganteum	extinct	11.2	12.85	1306
